Step,Train,Test
0,0.296875,0.4
1,0.489583333,0.4
2,0.4921875,0.4
3,0.604166667,0.4875
4,0.682291667,0.5
5,0.705729167,0.53125
6,0.669270833,0.575
7,0.729166667,0.675
8,0.75,0.675
9,0.8125,0.75625
10,0.830729167,0.75625
11,0.825520833,0.775
12,0.84375,0.8375
13,0.869791667,0.8375
14,0.8203125,0.8375
15,0.861979167,0.8375
16,0.859375,0.8375
17,0.880208333,0.875
18,0.888020833,0.89375
19,0.893229167,0.89375
20,0.8984375,0.89375
21,0.916666667,0.89375
22,0.911458333,0.89375
23,0.9140625,0.91875
24,0.916666667,0.91875
25,0.921875,0.91875
26,0.921875,0.91875
27,0.9375,0.91875
28,0.90625,0.91875
29,0.885416667,0.91875
30,0.924479167,0.91875
31,0.911458333,0.91875
32,0.919270833,0.91875
33,0.893229167,0.91875
34,0.924479167,0.91875
35,0.9140625,0.91875
36,0.901041667,0.91875
37,0.908854167,0.91875
38,0.940104167,0.91875
39,0.9453125,0.91875
40,0.9453125,0.91875
41,0.966145833,0.91875
42,0.955729167,0.91875
43,0.955729167,0.91875
44,0.966145833,0.91875
45,0.984375,0.91875
46,0.96875,0.91875
47,0.9921875,0.91875
48,0.9921875,0.91875
49,0.979166667,0.91875
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
