Epoch,Train Loss,Train ACC,Test Loss,Test ACC,Best Test Loss,Best Test ACC
1,1.5535296996434529,0.2760416666666667,0.01799894794821739,0.375,0.01799894794821739,0.375
2,1.2636826038360596,0.4869791666666667,0.01687582805752754,0.29375,0.01687582805752754,0.375
3,1.0797837972640991,0.4921875,0.014661119878292083,0.44375,0.014661119878292083,0.44375
4,0.9364375273386637,0.5520833333333334,0.015827400237321855,0.38125,0.014661119878292083,0.44375
5,0.8028106689453125,0.6015625,0.010527343302965165,0.5375,0.010527343302965165,0.5375
6,0.7422175208727518,0.6666666666666666,0.010894342884421348,0.54375,0.010527343302965165,0.54375
7,0.6755499839782715,0.6979166666666666,0.010718243569135666,0.54375,0.010527343302965165,0.54375
8,0.6226577560106913,0.7291666666666666,0.008882346004247666,0.58125,0.008882346004247666,0.58125
9,0.6129906177520752,0.7135416666666666,0.011199215054512024,0.63125,0.008882346004247666,0.63125
10,0.585729161898295,0.7161458333333334,0.008779101818799973,0.5875,0.008779101818799973,0.63125
11,0.5503976941108704,0.765625,0.011156755313277245,0.5875,0.008779101818799973,0.63125
12,0.5252876877784729,0.7734375,0.007798695564270019,0.7,0.007798695564270019,0.7
13,0.4911044239997864,0.8177083333333334,0.00939754992723465,0.70625,0.007798695564270019,0.70625
14,0.5823254287242889,0.7864583333333334,0.009866651147603989,0.6875,0.007798695564270019,0.70625
15,0.5670097668965658,0.7734375,0.008386744186282158,0.7,0.007798695564270019,0.70625
16,0.4146941105524699,0.8177083333333334,0.007145952060818672,0.7125,0.007145952060818672,0.7125
17,0.41848356525103253,0.8125,0.009075499698519706,0.70625,0.007145952060818672,0.7125
18,0.37226366996765137,0.8489583333333334,0.009726616740226745,0.69375,0.007145952060818672,0.7125
19,0.37644625703493756,0.8567708333333334,0.007120298221707344,0.75,0.007120298221707344,0.75
20,0.32862557967503864,0.8828125,0.004862042888998985,0.81875,0.004862042888998985,0.81875
21,0.30528461933135986,0.8854166666666666,0.008272403292357922,0.6875,0.004862042888998985,0.81875
22,0.2934623559315999,0.875,0.005119828507304192,0.80625,0.004862042888998985,0.81875
23,0.2815465082724889,0.8984375,0.008711748570203782,0.7,0.004862042888998985,0.81875
24,0.33118221163749695,0.875,0.004603132605552673,0.8625,0.004603132605552673,0.8625
25,0.21577892204125723,0.9270833333333334,0.005872157774865628,0.85,0.004603132605552673,0.8625
26,0.24273092051347098,0.9036458333333334,0.008341783657670021,0.76875,0.004603132605552673,0.8625
27,0.20368071893850961,0.9140625,0.0051666412502527235,0.8375,0.004603132605552673,0.8625
28,0.31407801310221356,0.8932291666666666,0.007925381883978844,0.825,0.004603132605552673,0.8625
29,0.29797234137852985,0.8854166666666666,0.00618207436054945,0.84375,0.004603132605552673,0.8625
30,0.30391859014829,0.890625,0.00416676364839077,0.86875,0.00416676364839077,0.86875
31,0.22506577769915262,0.921875,0.003506049048155546,0.89375,0.003506049048155546,0.89375
32,0.21531309684117636,0.921875,0.00373467355966568,0.875,0.003506049048155546,0.89375
33,0.1896987110376358,0.9244791666666666,0.004574270360171795,0.84375,0.003506049048155546,0.89375
34,0.21920576194922128,0.9010416666666666,0.00592986736446619,0.81875,0.003506049048155546,0.89375
35,0.34863755106925964,0.9010416666666666,0.004240838438272476,0.825,0.003506049048155546,0.89375
36,0.2820536543925603,0.8932291666666666,0.005639778263866901,0.80625,0.003506049048155546,0.89375
37,0.24484749138355255,0.9088541666666666,0.007982330396771431,0.79375,0.003506049048155546,0.89375
38,0.2974121371905009,0.90625,0.004977893829345703,0.85,0.003506049048155546,0.89375
39,0.2377138833204905,0.9010416666666666,0.00431283563375473,0.8375,0.003506049048155546,0.89375
40,0.2024961163600286,0.921875,0.0035185282118618487,0.8875,0.003506049048155546,0.89375
41,0.1865250120560328,0.9348958333333334,0.005174194555729627,0.8875,0.003506049048155546,0.89375
42,0.16996297736962637,0.9479166666666666,0.004459412768483162,0.9,0.003506049048155546,0.9
43,0.19149722655614218,0.9166666666666666,0.007515634782612324,0.90625,0.003506049048155546,0.90625
44,0.18453746537367502,0.921875,0.005606924928724766,0.84375,0.003506049048155546,0.90625
45,0.15364389369885126,0.9401041666666666,0.006353105045855045,0.875,0.003506049048155546,0.90625
46,0.21773379544417062,0.9140625,0.005129401199519634,0.85,0.003506049048155546,0.90625
47,0.28887515266736347,0.90625,0.008914966881275178,0.80625,0.003506049048155546,0.90625
48,0.3612659697731336,0.8619791666666666,0.008019961789250374,0.80625,0.003506049048155546,0.90625
49,0.24993306398391724,0.9010416666666666,0.0040796766057610515,0.85625,0.003506049048155546,0.90625
50,0.2715466519196828,0.90625,0.003973397985100746,0.9,0.003506049048155546,0.90625
